Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
BWA,BorgWarner Inc.,38.51,$8.42B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/bwa
SAM,"Boston Beer Company, Inc. (The)",176.62,$2.27B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/sam
BXP,"Boston Properties, Inc.",131.14,$20.14B,1997,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/bxp
BXP^B,"Boston Properties, Inc.",25.54,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bxp^b
BSX,Boston Scientific Corporation,19.67,$26.52B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/bsx
BOX,"Box, Inc.",12.92,$1.61B,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/box
BYD,Boyd Gaming Corporation,21.06,$2.35B,1993,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/byd
BP,BP p.l.c.,31.76,$106.44B,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/bp
BPT,BP Prudhoe Bay Royalty Trust,16.31,$349.03M,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/bpt
BERY,BPC Acquisition Corp,36.26,$4.37B,2012,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/bery
BRC,Brady Corporation,27.46,$1.38B,n/a,Consumer Durables,Miscellaneous manufacturing industries,http://www.nasdaq.com/symbol/brc
BDN^E,Brandywine Realty Tr,26.3199,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bdn^e
BDN,Brandywine Realty Trust,14.34,$2.51B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/bdn
LND,Brasilagro Cia Brasileira De Propriedades Agricolas,3.54,$206.12M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/lnd
BAK,Braskem S.A.,14.47,$5.77B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/bak
BRFS,BRF S.A.,13.85,$11.25B,n/a,Consumer Non-Durables,Meat/Poultry/Fish,http://www.nasdaq.com/symbol/brfs
BPI,"Bridgepoint Education, Inc.",9.7,$445.78M,2009,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/bpi
BGG,Briggs & Stratton Corporation,23.34,$1.01B,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/bgg
BFAM,Bright Horizons Family Solutions Inc.,64.84,$3.87B,2013,Miscellaneous,Other Consumer Services,http://www.nasdaq.com/symbol/bfam
EAT,"Brinker International, Inc.",44.47,$2.54B,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/eat
BCO,Brink&#39;s Company (The),35.21,$1.72B,n/a,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/bco
BMY,Bristol-Myers Squibb Company,68.91,$115.04B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bmy
BRS,Bristow Group Inc,21.39,$747.62M,n/a,Transportation,Transportation Services,http://www.nasdaq.com/symbol/brs
BRX,Brixmor Property Group Inc.,25.68,$7.68B,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/brx
BR,"Broadridge Financial Solutions, Inc.",61.05,$7.25B,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/br
BKD,Brookdale Senior Living Inc.,18.57,$3.43B,2005,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/bkd
BAM,Brookfield Asset Management Inc,34.05,$33.6B,n/a,Consumer Services,Building operators,http://www.nasdaq.com/symbol/bam
BOXC,Brookfield Canada Office Properties,22.18,$582.4M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/boxc
DTLA^,Brookfield DTLA Inc.,19.95,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dtla^
INF,Brookfield Global Listed Infrastructure Income Fund,11.79,$121.97M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/inf
HHY,Brookfield High Income Fund Inc.,7.09,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/hhy
BIP,Brookfield Infrastructure Partners LP,41.78,$6.78B,n/a,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/bip
BOI,Brookfield Mortgage Opportunity Income Fund Inc.,14.79,n/a,2013,n/a,n/a,http://www.nasdaq.com/symbol/boi
BPY,Brookfield Property Partners L.P.,24.05,$6.29B,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/bpy
BEP,Brookfield Renewable Powerr Fund,29.33,$4.2B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/bep
HTR,Brookfield Total Return Fund Inc.,23.58,$329.19M,1989,n/a,n/a,http://www.nasdaq.com/symbol/htr
BRO,"Brown & Brown, Inc.",34.5,$4.78B,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/bro
BF.A,Brown Forman Corporation,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bf.a
BF.B,Brown Forman Corporation,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bf.b
BRT,BRT Realty Trust,7.13,$101.55M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/brt
BC,Brunswick Corporation,48.42,$4.41B,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/bc
BT,BT Group plc,32.85,$55.01B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/bt
BPL,Buckeye Partners L.P.,71.4,$9.26B,1986,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/bpl
BKE,"Buckle, Inc. (The)",29.98,$1.46B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/bke
BVN,Buenaventura Mining Company Inc.,8.21,$2.09B,1996,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/bvn
BBW,"Build-A-Bear Workshop, Inc.",12.47,$197.4M,2004,Consumer Services,Recreational Products/Toys,http://www.nasdaq.com/symbol/bbw
BG,Bunge Limited,59.19,$8.34B,2001,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/bg
BURL,"Burlington Stores, Inc.",58.06,$4.18B,2013,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/burl
BWXT,"BWX Technologies, Inc.",33.17,$3.48B,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/bwxt
CJES,"C&J Energy Services, Ltd.",1.47,$176.7M,2015,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/cjes
BCR,"C.R. Bard, Inc.",208.79,$15.4B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/bcr
BNK,"C1 Financial, Inc.",24.76,$398.66M,2014,Finance,Major Banks,http://www.nasdaq.com/symbol/bnk
GYB,CABCO Series 2004-101 Trust,19.72,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/gyb
PFH,CABCO Series 2004-101 Trust,18.83,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/pfh
CAB,Cabela&#39;s Inc,52.39,$3.55B,2004,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/cab
CABO,"Cable One, Inc.",453.75,$2.62B,2015,Consumer Services,Television Services,http://www.nasdaq.com/symbol/cabo
CVC,Cablevision Systems Corporation,33.56,$9.28B,1986,Consumer Services,Television Services,http://www.nasdaq.com/symbol/cvc
CBT,Cabot Corporation,49.51,$3.09B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/cbt
COG,Cabot Oil & Gas Corporation,23.48,$9.72B,1990,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cog
CACI,"CACI International, Inc.",108.47,$2.63B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/caci
CAE,CAE Inc,11.63,$3.14B,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cae
CAI,"CAI International, Inc.",9.81,$195.43M,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/cai
CAA,"CalAtlantic Group, Inc.",34.68,$4.21B,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/caa
CAL,"Caleres, Inc.",26.07,$1.14B,n/a,Consumer Non-Durables,Shoe Manufacturing,http://www.nasdaq.com/symbol/cal
CCC,Calgon Carbon Corporation,15.82,$799.11M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ccc
CRC,California Resources Corporation,1.74,$675.44M,2014,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/crc
CWT,California Water  Service Group Holding,27.94,$1.34B,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/cwt
CALX,"Calix, Inc",6.66,$322.69M,2010,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/calx
ELY,Callaway Golf Company,9.42,$883.29M,1992,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/ely
CPE,Callon Petroleum Company,8.92,$721.13M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cpe
CPE^A,Callon Petroleum Company,46.47,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cpe^a
CPN,Calpine Corporation,15.73,$5.61B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cpn
CBM,Cambrex Corporation,44.41,$1.41B,1987,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cbm
CPT,Camden Property Trust,82.21,$7.15B,1993,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cpt
CCJ,Cameco Corporation,12.87,$5.09B,1996,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/ccj
CPB,Campbell Soup Company,61.82,$19.11B,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/cpb
CM,Canadian Imperial Bank of Commerce,78.84,$31.1B,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/cm
CNI,Canadian National Railway Company,64.3,$50.25B,n/a,Transportation,Railroads,http://www.nasdaq.com/symbol/cni
CNQ,Canadian Natural Resources Limited,30.02,$32.86B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cnq
CP,Canadian Pacific Railway Limited,149.83,$22.93B,n/a,Transportation,Railroads,http://www.nasdaq.com/symbol/cp
CAJ,"Canon, Inc.",30.79,$33.62B,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/caj
CMN,Cantel Medical Corp.,70.21,$2.93B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cmn
COF,Capital One Financial Corporation,72.8,$38.39B,1994,Finance,Major Banks,http://www.nasdaq.com/symbol/cof
COF.WS,Capital One Financial Corporation,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cof.ws
COF^C,Capital One Financial Corporation,26.24,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cof^c
COF^D,Capital One Financial Corporation,27.17,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cof^d
COF^F,Capital One Financial Corporation,26.04,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cof^f
COF^P,Capital One Financial Corporation,25.94,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cof^p
CSU,Capital Senior Living Corporation,19.83,$583.25M,1997,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/csu
BXMT,"Capital Trust, Inc.",27.21,$2.56B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/bxmt
CLA,Capitala Finance Corp.,25.7435,n/a,2014,n/a,n/a,http://www.nasdaq.com/symbol/cla
CMO,Capstead Mortgage Corporation,9.92,$951.8M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cmo
CMO^E,Capstead Mortgage Corporation,23.98,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cmo^e
CRR,"Carbo Ceramics, Inc.",16.25,$381.68M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/crr
CAH,"Cardinal Health, Inc.",85.59,$28.19B,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/cah
CCP,"Care Capital Properties, Inc.",26.4,$2.22B,2015,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ccp
CRCM,"Care.com, Inc.",6.03,$195.67M,2014,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/crcm
CSL,Carlisle Companies Incorporated,102.7,$6.59B,n/a,Basic Industries,Specialty Chemicals,http://www.nasdaq.com/symbol/csl
KMX,CarMax Inc,54.33,$10.63B,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/kmx
CCL,Carnival Corporation,50.6,$39.4B,1987,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/ccl
CUK,Carnival Corporation,52.71,$41.04B,n/a,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/cuk
CRS,Carpenter Technology Corporation,37.13,$1.74B,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/crs
CSV,"Carriage Services, Inc.",22.32,$371.26M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/csv
CRI,"Carter&#39;s, Inc.",104.51,$5.41B,2003,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/cri
CSH,"Cash America International, Inc.",39.55,$967.83M,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/csh
CAS,Castle (A.M.) & Co.,2.88,$68.53M,n/a,Basic Industries,Metal Fabrications,http://www.nasdaq.com/symbol/cas
CSLT,"Castlight Health, inc.",3.41,$329.61M,2014,Technology,EDP Services,http://www.nasdaq.com/symbol/cslt
CTLT,"Catalent, Inc.",29.62,$3.69B,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ctlt
CTT,"CatchMark Timber Trust, Inc.",11.16,$433.02M,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ctt
CAT,"Caterpillar, Inc.",80.39,$46.81B,n/a,Capital Goods,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/cat
CATO,Cato Corporation (The),37.84,$1.05B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/cato
CBZ,"CBIZ, Inc.",10.25,$538.65M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/cbz
CBL,"CBL & Associates Properties, Inc.",12.28,$2.09B,1993,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cbl
CBL^D,"CBL & Associates Properties, Inc.",25.05,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cbl^d
CBL^E,"CBL & Associates Properties, Inc.",24.51,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cbl^e
CBO,CBO (Listing Market - NYSE - Networks A/E),21,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cbo
IGR,CBRE Clarion Global Real Estate Income Fund,7.88,$918.73M,2004,n/a,n/a,http://www.nasdaq.com/symbol/igr
CBG,"CBRE Group, Inc.",30.62,$10.23B,2004,Finance,Real Estate,http://www.nasdaq.com/symbol/cbg
CBS,CBS Corporation,54.96,$25.26B,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/cbs
CBS.A,CBS Corporation,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cbs.a
CBX,CBX (Listing Market NYSE Networks AE,117,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cbx
CDI,CDI Corporation,7.67,$151.13M,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/cdi
CEB,CEB Inc.,66,$2.15B,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/ceb
FUN,"Cedar Fair, L.P.",58.95,$3.3B,1987,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/fun
CDR,"Cedar Realty Trust, Inc.",7,$594.88M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cdr
CDR^B,"Cedar Realty Trust, Inc.",25.6,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cdr^b
CGI,"Celadon Group, Inc.",9.87,$275.12M,n/a,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/cgi
CE,Celanese Corporation,69.74,$10.26B,2005,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ce
CLS,"Celestica, Inc.",10.59,$1.32B,1998,Technology,Electrical Products,http://www.nasdaq.com/symbol/cls
CEL,"Cellcom Israel, Ltd.",7.76,$780.69M,2007,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/cel
CPAC,Cementos Pacasmayo S.A.A.,8.8,$1.02B,2012,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cpac
CX,Cemex S.A.B. de C.V.,7.54,$9.52B,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cx
CNCO,Cencosud S.A.,8.7,$8.2B,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/cnco
CVE,Cenovus Energy Inc,14.2,$11.83B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cve
CNC,Centene Corporation,59.15,$7.2B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/cnc
CEN,Center Coast MLP & Infrastructure Fund,9.99,$147.96M,2013,n/a,n/a,http://www.nasdaq.com/symbol/cen
CNP,"CenterPoint Energy, Inc.",21,$9.04B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cnp
EBR,Centrais Electricas Brasileiras SA,1.95,$2.64B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/ebr
EBR.B,Centrais Electricas Brasileiras SA,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ebr.b
CEE,"Central Europe, Russia and Turkey Fund, Inc. (The)",19.2756,$167.19M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cee
CCS,"Century Communities, Inc.",18.15,$386.32M,2014,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/ccs
CTL,"CenturyLink, Inc.",32.71,$17.79B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/ctl
CVO,Cenveo Inc,0.3844,$26.09M,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/cvo
CF,"CF Industries Holdings, Inc.",33.7,$7.85B,2005,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/cf
CGG,CGG,0.913,$326.66M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cgg
GIB,"CGI Group, Inc.",48.65,$13.13B,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/gib
ECOM          ,ChannelAdvisor Corporation,12.52,$316.04M,2013,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ecom
CRL,"Charles River Laboratories International, Inc.",79.35,$3.71B,2000,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/crl
CLDT,Chatham Lodging Trust (REIT),21.83,$836.92M,2010,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cldt
CKP,"Checkpoint Systms, Inc.",10.16,$421.58M,n/a,Consumer Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/ckp
CMCM,Cheetah Mobile Inc.,16.74,$2.38B,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cmcm
CHGG,"Chegg, Inc.",4.5,$404.81M,2013,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/chgg
CHE,Chemed Corp.,138.19,$2.35B,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/che
CC,Chemours Company (The),9.06,$1.64B,2015,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/cc
CHMT,Chemtura Corp.,27.85,$1.84B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/chmt
CHMI,Cherry Hill Mortgage Investment Corporation,14.27,$107.3M,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/chmi
CHK,Chesapeake Energy Corporation,6.12,$4.07B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/chk
CHK^D,Chesapeake Energy Corporation,25.9,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/chk^d
CHKR,Chesapeake Granite Wash Trust,3.22,$150.54M,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/chkr
CHSP,Chesapeake Lodging Trust,25.28,$1.52B,2010,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/chsp
CHSP^A,Chesapeake Lodging Trust,26.3,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/chsp^a
CPK,Chesapeake Utilities Corporation,61.55,$940.26M,n/a,Public Utilities,Oil & Gas Production,http://www.nasdaq.com/symbol/cpk
CVX,Chevron Corporation,100.5,$189.26B,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/cvx
CBI,Chicago Bridge & Iron Company N.V.,36.41,$3.81B,1997,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/cbi
CHS,"Chico&#39;s FAS, Inc.",12.64,$1.69B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/chs
CIM,Chimera Investment Corporation,13.98,$2.62B,2007,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cim
CO,China Cord Blood Corporation,6.33,$461.24M,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/co
STV,"China Digital TV Holding Co., Ltd.",1.73,$103.29M,2007,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/stv
DL,China Distance Education Holdings Limited,14.58,$511.35M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/dl
CEA,China Eastern Airlines Corporation Ltd.,30.05,$7.62B,1997,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/cea
CHN,"China Fund, Inc. (The)",15.01,$235.39M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/chn
CGA,"China Green Agriculture, Inc.",1.39,$51.39M,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/cga
LFC,China Life Insurance Company Limited,12.68,$71.68B,2003,Finance,Life Insurance,http://www.nasdaq.com/symbol/lfc
MY,China Ming Yang Wind Power Group Limited,2.39,$298.93M,2010,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/my
CHL,China Mobile (Hong Kong) Ltd.,57.52,$235.55B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/chl
NPD,China Nepstar Chain Drugstore Ltd,2.48,$244.78M,2007,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/npd
BORN,China New Borun Corporation,1.52,$39.1M,2010,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/born
SNP,China Petroleum & Chemical Corporation,69.7,$82.44B,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/snp
ZNH,China Southern Airlines Company Limited,33.49,$6.58B,1997,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/znh
CHA,China Telecom Corp Ltd,54.35,$43.99B,2002,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/cha
CHU,China Unicom (Hong Kong) Ltd,12.72,$30.46B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/chu
XNY,China Xiniya Fashion Limited,1.316,$18.73M,2010,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/xny
CYD,China Yuchai International Limited,10.5,$401.05M,1994,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cyd
ZX,China Zenix Auto International Limited,1.1301,$58.34M,2011,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/zx
CMG,"Chipotle Mexican Grill, Inc.",455.18,$13.68B,2006,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/cmg
CHH,"Choice Hotels International, Inc.",52.92,$2.98B,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/chh
CBK,Christopher & Banks Corporation,2.85,$105.74M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/cbk
CHT,"Chunghwa Telecom Co., Ltd.",34.62,$26.86B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/cht
CHD,"Church & Dwight Company, Inc.",94.26,$12.23B,n/a,Basic Industries,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/chd
CBR,"Ciber, Inc.",2.24,$179.69M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/cbr
CIEN,Ciena Corporation,17.27,$2.38B,1997,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/cien
CI,Cigna Corporation,139.87,$35.77B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/ci
XEC,Cimarex Energy Co,108,$10.24B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/xec
CBB,Cincinnati Bell Inc,3.92,$823.27M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/cbb
CBB^B,Cincinnati Bell Inc,48.091,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cbb^b
CNK,Cinemark Holdings Inc,35.62,$4.13B,2007,Consumer Services,Movies/Entertainment,http://www.nasdaq.com/symbol/cnk
CINR,Ciner Resources LP,28.3,$555.82M,2013,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/cinr
CIR,"CIRCOR International, Inc.",48.26,$790.1M,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/cir
CIT,CIT Group Inc (DEL),33.54,$6.76B,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/cit
BLW,Citigroup Inc.,14.96,$553.5M,2003,Finance,Major Banks,http://www.nasdaq.com/symbol/blw
C,Citigroup Inc.,45.63,$134.52B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/c
C.WS.A,Citigroup Inc.,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/c.ws.a
C^C,Citigroup Inc.,25.81,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/c^c
C^J,Citigroup Inc.,27.53,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/c^j
C^K,Citigroup Inc.,27.35,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/c^k
C^L,Citigroup Inc.,27.09,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/c^l
C^N,Citigroup Inc.,26.32,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/c^n
C^P,Citigroup Inc.,28.29,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/c^p
C^S,Citigroup Inc.,25.97,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/c^s
CFG,"Citizens Financial Group, Inc.",23.1,$12.19B,2014,Finance,Major Banks,http://www.nasdaq.com/symbol/cfg
CIA,"Citizens, Inc.",8.1,$405.66M,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/cia
CIO,"City Office REIT, Inc.",11.19,$143.62M,2014,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cio
